Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,user1_activity,user2_activity,user3_activity,user4_activity,Total Power (W),Unix Time,state
2025-01-22 14:00:10,SMP01,Laboratory 207,27.193,31366.257,Refrigerator(207),abs,abs,abs,abs,27.193,1737554410,S0
2025-01-22 14:00:23,SMP01,Laboratory 207,27.193,31366.257,Refrigerator(207),abs,abs,abs,abs,27.193,1737554423,S0
2025-01-22 14:00:35,SMP01,Laboratory 207,28.187,31366.257,Refrigerator(207),abs,abs,abs,abs,28.187,1737554435,S0
2025-01-22 14:00:47,SMP01,Laboratory 207,28.187,31366.719,Refrigerator(207),abs,abs,abs,abs,28.187,1737554447,S0
2025-01-22 14:00:59,SMP01,Laboratory 207,28.187,31366.719,Refrigerator(207),abs,abs,abs,abs,28.187,1737554459,S0
2025-01-22 14:01:11,SMP01,Laboratory 207,28.187,31366.719,Refrigerator(207),abs,abs,abs,abs,28.187,1737554471,S0
2025-01-22 14:01:24,SMP01,Laboratory 207,28.187,31366.719,Refrigerator(207),abs,abs,abs,abs,28.187,1737554484,S0
2025-01-22 14:01:36,SMP01,Laboratory 207,27.931,31367.183,Refrigerator(207),abs,abs,abs,abs,27.931,1737554496,S0
2025-01-22 14:01:48,SMP01,Laboratory 207,27.931,31367.183,Refrigerator(207),abs,abs,abs,abs,27.931,1737554508,S0
2025-01-22 14:02:00,SMP01,Laboratory 207,27.931,31367.183,Refrigerator(207),abs,abs,abs,abs,27.931,1737554520,S0
2025-01-22 14:02:12,SMP01,Laboratory 207,27.931,31367.183,Refrigerator(207),abs,abs,abs,abs,27.931,1737554532,S0
2025-01-22 14:02:25,SMP01,Laboratory 207,27.931,31367.183,Refrigerator(207),abs,abs,abs,abs,27.931,1737554545,S0
2025-01-22 14:02:37,SMP01,Laboratory 207,28.063,31367.648,Refrigerator(207),abs,abs,abs,abs,28.063,1737554557,S0
2025-01-22 14:02:49,SMP01,Laboratory 207,28.063,31367.648,Refrigerator(207),abs,abs,abs,abs,28.063,1737554569,S0
2025-01-22 14:03:02,SMP01,Laboratory 207,28.063,31367.648,Refrigerator(207),wpc,abs,abs,abs,28.063,1737554582,S54
2025-01-22 14:03:14,SMP01,Laboratory 207,28.063,31367.648,Refrigerator(207),wpc,abs,abs,abs,28.063,1737554594,S54
2025-01-22 14:03:26,SMP01,Laboratory 207,28.063,31367.648,Refrigerator(207),wpc,abs,abs,abs,28.063,1737554606,S54
2025-01-22 14:03:39,SMP01,Laboratory 207,27.684,31368.119,Refrigerator(207),wpc,abs,abs,abs,27.684,1737554619,S54
2025-01-22 14:03:51,SMP01,Laboratory 207,27.684,31368.119,Refrigerator(207),wpc,abs,abs,abs,27.684,1737554631,S54
2025-01-22 14:04:03,SMP01,Laboratory 207,27.684,31368.119,Refrigerator(207),wpc,abs,abs,abs,27.684,1737554643,S54
2025-01-22 14:04:16,SMP01,Laboratory 207,27.684,31368.119,Refrigerator(207),wpc,abs,abs,abs,27.684,1737554656,S54
2025-01-22 14:04:28,SMP01,Laboratory 207,27.684,31368.119,Refrigerator(207),wpc,abs,abs,abs,27.684,1737554668,S54
2025-01-22 14:04:40,SMP01,Laboratory 207,28.522,31368.591,Refrigerator(207),wpc,abs,abs,abs,28.522,1737554680,S54
2025-01-22 14:04:53,SMP01,Laboratory 207,28.522,31368.591,Refrigerator(207),wpc,abs,abs,abs,28.522,1737554693,S54
2025-01-22 14:05:05,SMP01,Laboratory 207,28.522,31368.591,Refrigerator(207),wpc,abs,abs,abs,28.522,1737554705,S54
2025-01-22 14:05:18,SMP01,Laboratory 207,28.522,31368.591,Refrigerator(207),wpc,abs,abs,abs,28.522,1737554718,S54
2025-01-22 14:05:30,SMP01,Laboratory 207,28.522,31368.591,Refrigerator(207),wpc,abs,abs,abs,28.522,1737554730,S54
2025-01-22 14:05:43,SMP01,Laboratory 207,28.269,31369.066,Refrigerator(207),wpc,abs,abs,abs,28.269,1737554743,S54
2025-01-22 14:05:55,SMP01,Laboratory 207,28.269,31369.066,Refrigerator(207),wpc,abs,abs,abs,28.269,1737554755,S54
2025-01-22 14:06:07,SMP01,Laboratory 207,28.269,31369.066,Refrigerator(207),wpc,wpc,abs,abs,28.269,1737554767,S72
2025-01-22 14:06:20,SMP01,Laboratory 207,28.269,31369.066,Refrigerator(207),wpc,wpc,abs,abs,28.269,1737554780,S72
2025-01-22 14:06:32,SMP01,Laboratory 207,28.269,31369.066,Refrigerator(207),wpc,wpc,abs,abs,28.269,1737554792,S72
2025-01-22 14:06:45,SMP01,Laboratory 207,28.673,31369.542,Refrigerator(207),wpc,wpc,abs,abs,28.673,1737554805,S72
2025-01-22 14:06:57,SMP01,Laboratory 207,28.673,31369.542,Refrigerator(207),wpc,wpc,abs,abs,28.673,1737554817,S72
2025-01-22 14:07:09,SMP01,Laboratory 207,28.673,31369.542,Refrigerator(207),wpc,wpc,abs,abs,28.673,1737554829,S72
2025-01-22 14:07:22,SMP01,Laboratory 207,28.673,31369.542,Refrigerator(207),wpc,wpc,abs,abs,28.673,1737554842,S72
2025-01-22 14:07:34,SMP01,Laboratory 207,28.673,31369.542,Refrigerator(207),wpc,wpc,abs,abs,28.673,1737554854,S72
2025-01-22 14:07:46,SMP01,Laboratory 207,28.295,31370.018,Refrigerator(207),wpc,wpc,abs,abs,28.295,1737554866,S72
2025-01-22 14:07:59,SMP01,Laboratory 207,28.295,31370.018,Refrigerator(207),wpc,wpc,abs,abs,28.295,1737554879,S72
2025-01-22 14:08:11,SMP01,Laboratory 207,28.295,31370.018,Refrigerator(207),wpc,wpc,abs,abs,28.295,1737554891,S72
2025-01-22 14:08:23,SMP01,Laboratory 207,28.295,31370.018,Refrigerator(207),wpc,wpc,abs,abs,28.295,1737554903,S72
2025-01-22 14:08:36,SMP01,Laboratory 207,28.637,31370.496,Refrigerator(207),wpc,wpc,abs,abs,28.637,1737554916,S72
2025-01-22 14:08:48,SMP01,Laboratory 207,28.637,31370.496,Refrigerator(207),wpc,wpc,abs,abs,28.637,1737554928,S72
2025-01-22 14:09:00,SMP01,Laboratory 207,28.637,31370.496,Refrigerator(207),wpc,wpc,wpc,abs,28.637,1737554940,S78
2025-01-22 14:09:12,SMP01,Laboratory 207,28.637,31370.496,Refrigerator(207),wpc,wpc,wpc,abs,28.637,1737554952,S78
2025-01-22 14:09:25,SMP01,Laboratory 207,28.637,31370.496,Refrigerator(207),wpc,wpc,wpc,abs,28.637,1737554965,S78
2025-01-22 14:09:37,SMP01,Laboratory 207,28.82,31370.981,Refrigerator(207),wpc,wpc,wpc,abs,28.82,1737554977,S78
2025-01-22 14:09:49,SMP01,Laboratory 207,28.82,31370.981,Refrigerator(207),wpc,wpc,wpc,abs,28.82,1737554989,S78
2025-01-22 14:10:04,SMP01,Laboratory 207,28.82,31370.981,Refrigerator(207),wpc,wpc,wpc,abs,28.82,1737555004,S78
2025-01-22 14:10:16,SMP01,Laboratory 207,28.82,31370.981,Refrigerator(207),wpc,wpc,wpc,abs,28.82,1737555016,S78
2025-01-22 14:10:28,SMP01,Laboratory 207,28.82,31370.981,Refrigerator(207),wpc,wpc,wpc,abs,28.82,1737555028,S78
2025-01-22 14:10:40,SMP01,Laboratory 207,29.257,31371.47,Refrigerator(207),wpc,wpc,wpc,abs,29.257,1737555040,S78
2025-01-22 14:10:53,SMP01,Laboratory 207,29.257,31371.47,Refrigerator(207),wpc,wpc,wpc,abs,29.257,1737555053,S78
2025-01-22 14:11:05,SMP01,Laboratory 207,29.257,31371.47,Refrigerator(207),wpc,wpc,wpc,abs,29.257,1737555065,S78
2025-01-22 14:11:17,SMP01,Laboratory 207,29.257,31371.47,Refrigerator(207),wpc,wpc,wpc,abs,29.257,1737555077,S78
2025-01-22 14:11:30,SMP01,Laboratory 207,29.257,31371.47,Refrigerator(207),wpc,wpc,wpc,abs,29.257,1737555090,S78
2025-01-22 14:11:42,SMP01,Laboratory 207,29.499,31371.963,Refrigerator(207),wpc,wpc,wpc,abs,29.499,1737555102,S78
2025-01-22 14:11:54,SMP01,Laboratory 207,29.499,31371.963,Refrigerator(207),wpc,wpc,wpc,abs,29.499,1737555114,S78
2025-01-22 14:12:06,SMP01,Laboratory 207,29.499,31371.963,Refrigerator(207),wpc,wpc,wpc,wpc,29.499,1737555126,S80
2025-01-22 14:12:19,SMP01,Laboratory 207,29.499,31371.963,Refrigerator(207),wpc,wpc,wpc,wpc,29.499,1737555139,S80
2025-01-22 14:12:31,SMP01,Laboratory 207,29.499,31371.963,Refrigerator(207),wpc,wpc,wpc,wpc,29.499,1737555151,S80
2025-01-22 14:12:43,SMP01,Laboratory 207,29.417,31372.457,Refrigerator(207),wpc,wpc,wpc,wpc,29.417,1737555163,S80
2025-01-22 14:12:55,SMP01,Laboratory 207,29.417,31372.457,Refrigerator(207),wpc,wpc,wpc,wpc,29.417,1737555175,S80
2025-01-22 14:13:08,SMP01,Laboratory 207,29.417,31372.457,Refrigerator(207),wpc,wpc,wpc,wpc,29.417,1737555188,S80
2025-01-22 14:13:20,SMP01,Laboratory 207,29.417,31372.457,Refrigerator(207),wpc,wpc,wpc,wpc,29.417,1737555200,S80
2025-01-22 14:13:32,SMP01,Laboratory 207,29.417,31372.457,Refrigerator(207),wpc,wpc,wpc,wpc,29.417,1737555212,S80
2025-01-22 14:13:44,SMP01,Laboratory 207,29.121,31372.949,Refrigerator(207),wpc,wpc,wpc,wpc,29.121,1737555224,S80
2025-01-22 14:13:56,SMP01,Laboratory 207,29.121,31372.949,Refrigerator(207),wpc,wpc,wpc,wpc,29.121,1737555236,S80
2025-01-22 14:14:09,SMP01,Laboratory 207,29.121,31372.949,Refrigerator(207),wpc,wpc,wpc,wpc,29.121,1737555249,S80
2025-01-22 14:14:21,SMP01,Laboratory 207,29.121,31372.949,Refrigerator(207),wpc,wpc,wpc,wpc,29.121,1737555261,S80
2025-01-22 14:14:33,SMP01,Laboratory 207,29.121,31372.949,Refrigerator(207),wpc,wpc,wpc,wpc,29.121,1737555273,S80
2025-01-22 14:14:45,SMP01,Laboratory 207,29.109,31373.437,Refrigerator(207),wpc,wpc,wpc,wpc,29.109,1737555285,S80
2025-01-22 14:14:57,SMP01,Laboratory 207,29.109,31373.437,Refrigerator(207),wpc,wpc,wpc,wpc,29.109,1737555297,S80
2025-01-22 14:15:10,SMP01,Laboratory 207,29.109,31373.437,Refrigerator(207),wpc,wpc,wpc,wopc,29.109,1737555310,S79
2025-01-22 14:15:22,SMP01,Laboratory 207,29.109,31373.437,Refrigerator(207),wpc,wpc,wpc,wopc,29.109,1737555322,S79
2025-01-22 14:15:34,SMP01,Laboratory 207,29.109,31373.437,Refrigerator(207),wpc,wpc,wpc,wopc,29.109,1737555334,S79
2025-01-22 14:15:46,SMP01,Laboratory 207,29.121,31373.926,Refrigerator(207),wpc,wpc,wpc,wopc,29.121,1737555346,S79
2025-01-22 14:15:59,SMP01,Laboratory 207,29.121,31373.926,Refrigerator(207),wpc,wpc,wpc,wopc,29.121,1737555359,S79
2025-01-22 14:16:11,SMP01,Laboratory 207,29.121,31373.926,Refrigerator(207),wpc,wpc,wpc,wopc,29.121,1737555371,S79
2025-01-22 14:16:23,SMP01,Laboratory 207,29.121,31373.926,Refrigerator(207),wpc,wpc,wpc,wopc,29.121,1737555383,S79
2025-01-22 14:16:35,SMP01,Laboratory 207,29.345,31374.412,Refrigerator(207),wpc,wpc,wpc,wopc,29.345,1737555395,S79
2025-01-22 14:16:47,SMP01,Laboratory 207,29.345,31374.412,Refrigerator(207),wpc,wpc,wpc,wopc,29.345,1737555407,S79
2025-01-22 14:17:00,SMP01,Laboratory 207,29.345,31374.412,Refrigerator(207),wpc,wpc,wpc,wopc,29.345,1737555420,S79
2025-01-22 14:17:12,SMP01,Laboratory 207,29.345,31374.412,Refrigerator(207),wpc,wpc,wpc,wopc,29.345,1737555432,S79
2025-01-22 14:17:24,SMP01,Laboratory 207,29.345,31374.412,Refrigerator(207),wpc,wpc,wpc,wopc,29.345,1737555444,S79
2025-01-22 14:17:36,SMP01,Laboratory 207,29.137,31374.898,Refrigerator(207),wpc,wpc,wpc,wopc,29.137,1737555456,S79
2025-01-22 14:17:48,SMP01,Laboratory 207,29.137,31374.898,Refrigerator(207),wpc,wpc,wpc,wopc,29.137,1737555468,S79
2025-01-22 14:18:01,SMP01,Laboratory 207,29.137,31374.898,Refrigerator(207),wpc,wpc,wopc,wopc,29.137,1737555481,S76
2025-01-22 14:18:13,SMP01,Laboratory 207,29.137,31374.898,Refrigerator(207),wpc,wpc,wopc,wopc,29.137,1737555493,S76
2025-01-22 14:18:25,SMP01,Laboratory 207,29.137,31374.898,Refrigerator(207),wpc,wpc,wopc,wopc,29.137,1737555505,S76
2025-01-22 14:18:37,SMP01,Laboratory 207,29.19,31375.382,Refrigerator(207),wpc,wpc,wopc,wopc,29.19,1737555517,S76
2025-01-22 14:18:49,SMP01,Laboratory 207,29.19,31375.382,Refrigerator(207),wpc,wpc,wopc,wopc,29.19,1737555529,S76
2025-01-22 14:19:01,SMP01,Laboratory 207,29.19,31375.382,Refrigerator(207),wpc,wpc,wopc,wopc,29.19,1737555541,S76
2025-01-22 14:19:14,SMP01,Laboratory 207,29.19,31375.382,Refrigerator(207),wpc,wpc,wopc,wopc,29.19,1737555554,S76
2025-01-22 14:19:26,SMP01,Laboratory 207,29.19,31375.382,Refrigerator(207),wpc,wpc,wopc,wopc,29.19,1737555566,S76
2025-01-22 14:19:38,SMP01,Laboratory 207,29.116,31375.866,Refrigerator(207),wpc,wpc,wopc,wopc,29.116,1737555578,S76
2025-01-22 14:19:50,SMP01,Laboratory 207,29.116,31375.866,Refrigerator(207),wpc,wpc,wopc,wopc,29.116,1737555590,S76
2025-01-22 14:20:04,SMP01,Laboratory 207,29.116,31375.866,Refrigerator(207),wpc,wpc,wopc,wopc,29.116,1737555604,S76
2025-01-22 14:20:16,SMP01,Laboratory 207,29.116,31375.866,Refrigerator(207),wpc,wpc,wopc,wopc,29.116,1737555616,S76
2025-01-22 14:20:29,SMP01,Laboratory 207,29.116,31375.866,Refrigerator(207),wpc,wpc,wopc,wopc,29.116,1737555629,S76
2025-01-22 14:20:41,SMP01,Laboratory 207,28.927,31376.347,Refrigerator(207),wpc,wpc,wopc,wopc,28.927,1737555641,S76
2025-01-22 14:20:53,SMP01,Laboratory 207,28.927,31376.347,Refrigerator(207),wpc,wpc,wopc,wopc,28.927,1737555653,S76
2025-01-22 14:21:05,SMP01,Laboratory 207,28.927,31376.347,Refrigerator(207),wpc,wpc,wopc,wpc,28.927,1737555665,S77
2025-01-22 14:21:17,SMP01,Laboratory 207,28.927,31376.347,Refrigerator(207),wpc,wpc,wopc,wpc,28.927,1737555677,S77
2025-01-22 14:21:29,SMP01,Laboratory 207,28.927,31376.347,Refrigerator(207),wpc,wpc,wopc,wpc,28.927,1737555689,S77
2025-01-22 14:21:41,SMP01,Laboratory 207,29.047,31376.826,Refrigerator(207),wpc,wpc,wopc,wpc,29.047,1737555701,S77
2025-01-22 14:21:54,SMP01,Laboratory 207,29.047,31376.826,Refrigerator(207),wpc,wpc,wopc,wpc,29.047,1737555714,S77
2025-01-22 14:22:06,SMP01,Laboratory 207,29.047,31376.826,Refrigerator(207),wpc,wpc,wopc,wpc,29.047,1737555726,S77
2025-01-22 14:22:18,SMP01,Laboratory 207,29.047,31376.826,Refrigerator(207),wpc,wpc,wopc,wpc,29.047,1737555738,S77
2025-01-22 14:22:30,SMP01,Laboratory 207,29.047,31376.826,Refrigerator(207),wpc,wpc,wopc,wpc,29.047,1737555750,S77
2025-01-22 14:22:42,SMP01,Laboratory 207,28.992,31377.309,Refrigerator(207),wpc,wpc,wopc,wpc,28.992,1737555762,S77
2025-01-22 14:22:54,SMP01,Laboratory 207,28.992,31377.309,Refrigerator(207),wpc,wpc,wopc,wpc,28.992,1737555774,S77
2025-01-22 14:23:07,SMP01,Laboratory 207,28.992,31377.309,Refrigerator(207),wpc,wpc,wopc,wpc,28.992,1737555787,S77
2025-01-22 14:23:19,SMP01,Laboratory 207,28.992,31377.309,Refrigerator(207),wpc,wpc,wopc,wpc,28.992,1737555799,S77
2025-01-22 14:23:31,SMP01,Laboratory 207,28.992,31377.309,Refrigerator(207),wpc,wpc,wopc,wpc,28.992,1737555811,S77
2025-01-22 14:23:43,SMP01,Laboratory 207,28.98,31377.792,Refrigerator(207),wpc,wpc,wopc,wpc,28.98,1737555823,S77
2025-01-22 14:23:55,SMP01,Laboratory 207,28.98,31377.792,Refrigerator(207),wpc,wpc,wopc,wpc,28.98,1737555835,S77
2025-01-22 14:24:07,SMP01,Laboratory 207,28.98,31377.792,Refrigerator(207),wpc,wopc,wpc,wpc,28.98,1737555847,S71
2025-01-22 14:24:19,SMP01,Laboratory 207,28.98,31377.792,Refrigerator(207),wpc,wopc,wpc,wpc,28.98,1737555859,S71
2025-01-22 14:24:32,SMP01,Laboratory 207,28.98,31377.792,Refrigerator(207),wpc,wopc,wpc,wpc,28.98,1737555872,S71
2025-01-22 14:24:44,SMP01,Laboratory 207,29.113,31378.276,Refrigerator(207),wpc,wopc,wpc,wpc,29.113,1737555884,S71
2025-01-22 14:24:56,SMP01,Laboratory 207,29.113,31378.276,Refrigerator(207),wpc,wopc,wpc,wpc,29.113,1737555896,S71
2025-01-22 14:25:08,SMP01,Laboratory 207,29.113,31378.276,Refrigerator(207),wpc,wopc,wpc,wpc,29.113,1737555908,S71
2025-01-22 14:25:20,SMP01,Laboratory 207,29.113,31378.276,Refrigerator(207),wpc,wopc,wpc,wpc,29.113,1737555920,S71
2025-01-22 14:25:32,SMP01,Laboratory 207,29.113,31378.276,Refrigerator(207),wpc,wopc,wpc,wpc,29.113,1737555932,S71
2025-01-22 14:25:45,SMP01,Laboratory 207,2.395,31378.622,Refrigerator(207),wpc,wopc,wpc,wpc,2.395,1737555945,S71
2025-01-22 14:25:57,SMP01,Laboratory 207,2.395,31378.622,Refrigerator(207),wpc,wopc,wpc,wpc,2.395,1737555957,S71
2025-01-22 14:26:09,SMP01,Laboratory 207,2.395,31378.622,Refrigerator(207),wpc,wopc,wpc,wpc,2.395,1737555969,S71
2025-01-22 14:26:21,SMP01,Laboratory 207,2.395,31378.622,Refrigerator(207),wpc,wopc,wpc,wpc,2.395,1737555981,S71
2025-01-22 14:26:33,SMP01,Laboratory 207,2.395,31378.622,Refrigerator(207),wpc,wopc,wpc,wpc,2.395,1737555993,S71
2025-01-22 14:26:45,SMP01,Laboratory 207,1.235,31378.643,Refrigerator(207),wpc,wopc,wpc,wpc,1.235,1737556005,S71
2025-01-22 14:26:58,SMP01,Laboratory 207,1.235,31378.643,Refrigerator(207),wpc,wopc,wpc,wpc,1.235,1737556018,S71
2025-01-22 14:27:10,SMP01,Laboratory 207,1.235,31378.643,Refrigerator(207),wpc,wopc,wpc,wopc,1.235,1737556030,S70
2025-01-22 14:27:22,SMP01,Laboratory 207,1.235,31378.643,Refrigerator(207),wpc,wopc,wpc,wopc,1.235,1737556042,S70
2025-01-22 14:27:34,SMP01,Laboratory 207,1.235,31378.643,Refrigerator(207),wpc,wopc,wpc,wopc,1.235,1737556054,S70
2025-01-22 14:27:46,SMP01,Laboratory 207,0.72,31378.66,Refrigerator(207),wpc,wopc,wpc,wopc,0.72,1737556066,S70
2025-01-22 14:27:58,SMP01,Laboratory 207,0.72,31378.66,Refrigerator(207),wpc,wopc,wpc,wopc,0.72,1737556078,S70
2025-01-22 14:28:10,SMP01,Laboratory 207,0.72,31378.66,Refrigerator(207),wpc,wopc,wpc,wopc,0.72,1737556090,S70
2025-01-22 14:28:23,SMP01,Laboratory 207,0.72,31378.66,Refrigerator(207),wpc,wopc,wpc,wopc,0.72,1737556103,S70
2025-01-22 14:28:35,SMP01,Laboratory 207,0.72,31378.66,Refrigerator(207),wpc,wopc,wpc,wopc,0.72,1737556115,S70
2025-01-22 14:28:47,SMP01,Laboratory 207,0.631,31378.671,Refrigerator(207),wpc,wopc,wpc,wopc,0.631,1737556127,S70
2025-01-22 14:28:59,SMP01,Laboratory 207,0.631,31378.671,Refrigerator(207),wpc,wopc,wpc,wopc,0.631,1737556139,S70
2025-01-22 14:29:11,SMP01,Laboratory 207,0.631,31378.671,Refrigerator(207),wpc,wopc,wpc,wopc,0.631,1737556151,S70
2025-01-22 14:29:23,SMP01,Laboratory 207,0.631,31378.671,Refrigerator(207),wpc,wopc,wpc,wopc,0.631,1737556163,S70
2025-01-22 14:29:36,SMP01,Laboratory 207,0.654,31378.682,Refrigerator(207),wpc,wopc,wpc,wopc,0.654,1737556176,S70
2025-01-22 14:29:48,SMP01,Laboratory 207,0.654,31378.682,Refrigerator(207),wpc,wopc,wpc,wopc,0.654,1737556188,S70
2025-01-22 14:30:02,SMP01,Laboratory 207,0.654,31378.682,Refrigerator(207),wpc,wopc,wopc,wopc,0.654,1737556202,S67
2025-01-22 14:30:14,SMP01,Laboratory 207,0.654,31378.682,Refrigerator(207),wpc,wopc,wopc,wopc,0.654,1737556214,S67
2025-01-22 14:30:26,SMP01,Laboratory 207,0.654,31378.682,Refrigerator(207),wpc,wopc,wopc,wopc,0.654,1737556226,S67
2025-01-22 14:30:38,SMP01,Laboratory 207,0.675,31378.694,Refrigerator(207),wpc,wopc,wopc,wopc,0.675,1737556238,S67
2025-01-22 14:30:50,SMP01,Laboratory 207,0.675,31378.694,Refrigerator(207),wpc,wopc,wopc,wopc,0.675,1737556250,S67
2025-01-22 14:31:02,SMP01,Laboratory 207,0.675,31378.694,Refrigerator(207),wpc,wopc,wopc,wopc,0.675,1737556262,S67
2025-01-22 14:31:15,SMP01,Laboratory 207,0.675,31378.694,Refrigerator(207),wpc,wopc,wopc,wopc,0.675,1737556275,S67
2025-01-22 14:31:27,SMP01,Laboratory 207,0.675,31378.694,Refrigerator(207),wpc,wopc,wopc,wopc,0.675,1737556287,S67
2025-01-22 14:31:39,SMP01,Laboratory 207,0.669,31378.705,Refrigerator(207),wpc,wopc,wopc,wopc,0.669,1737556299,S67
2025-01-22 14:31:51,SMP01,Laboratory 207,0.669,31378.705,Refrigerator(207),wpc,wopc,wopc,wopc,0.669,1737556311,S67
2025-01-22 14:32:03,SMP01,Laboratory 207,0.669,31378.705,Refrigerator(207),wpc,wopc,wopc,wopc,0.669,1737556323,S67
2025-01-22 14:32:15,SMP01,Laboratory 207,0.669,31378.705,Refrigerator(207),wpc,wopc,wopc,wopc,0.669,1737556335,S67
2025-01-22 14:32:28,SMP01,Laboratory 207,0.669,31378.705,Refrigerator(207),wpc,wopc,wopc,wopc,0.669,1737556348,S67
2025-01-22 14:32:40,SMP01,Laboratory 207,0.737,31378.716,Refrigerator(207),wpc,wopc,wopc,wopc,0.737,1737556360,S67
2025-01-22 14:32:52,SMP01,Laboratory 207,0.737,31378.716,Refrigerator(207),wpc,wopc,wopc,wopc,0.737,1737556372,S67
2025-01-22 14:33:04,SMP01,Laboratory 207,0.737,31378.716,Refrigerator(207),wpc,wopc,wopc,wpc,0.737,1737556384,S68
2025-01-22 14:33:16,SMP01,Laboratory 207,0.737,31378.716,Refrigerator(207),wpc,wopc,wopc,wpc,0.737,1737556396,S68
2025-01-22 14:33:28,SMP01,Laboratory 207,0.737,31378.716,Refrigerator(207),wpc,wopc,wopc,wpc,0.737,1737556408,S68
2025-01-22 14:33:40,SMP01,Laboratory 207,0.646,31378.728,Refrigerator(207),wpc,wopc,wopc,wpc,0.646,1737556420,S68
2025-01-22 14:33:52,SMP01,Laboratory 207,0.646,31378.728,Refrigerator(207),wpc,wopc,wopc,wpc,0.646,1737556432,S68
2025-01-22 14:34:05,SMP01,Laboratory 207,0.646,31378.728,Refrigerator(207),wpc,wopc,wopc,wpc,0.646,1737556445,S68
2025-01-22 14:34:17,SMP01,Laboratory 207,0.646,31378.728,Refrigerator(207),wpc,wopc,wopc,wpc,0.646,1737556457,S68
2025-01-22 14:34:29,SMP01,Laboratory 207,0.646,31378.728,Refrigerator(207),wpc,wopc,wopc,wpc,0.646,1737556469,S68
2025-01-22 14:34:41,SMP01,Laboratory 207,0.673,31378.739,Refrigerator(207),wpc,wopc,wopc,wpc,0.673,1737556481,S68
2025-01-22 14:34:53,SMP01,Laboratory 207,0.673,31378.739,Refrigerator(207),wpc,wopc,wopc,wpc,0.673,1737556493,S68
2025-01-22 14:35:05,SMP01,Laboratory 207,0.673,31378.739,Refrigerator(207),wpc,wopc,wopc,wpc,0.673,1737556505,S68
2025-01-22 14:35:18,SMP01,Laboratory 207,0.673,31378.739,Refrigerator(207),wpc,wopc,wopc,wpc,0.673,1737556518,S68
2025-01-22 14:35:30,SMP01,Laboratory 207,0.673,31378.739,Refrigerator(207),wpc,wopc,wopc,wpc,0.673,1737556530,S68
2025-01-22 14:35:42,SMP01,Laboratory 207,0.704,31378.75,Refrigerator(207),wpc,wopc,wopc,wpc,0.704,1737556542,S68
2025-01-22 14:35:54,SMP01,Laboratory 207,0.704,31378.75,Refrigerator(207),wpc,wopc,wopc,wpc,0.704,1737556554,S68
2025-01-22 14:36:06,SMP01,Laboratory 207,0.704,31378.75,Refrigerator(207),wopc,wpc,wpc,wpc,0.704,1737556566,S53
2025-01-22 14:36:18,SMP01,Laboratory 207,0.704,31378.75,Refrigerator(207),wopc,wpc,wpc,wpc,0.704,1737556578,S53
2025-01-22 14:36:30,SMP01,Laboratory 207,0.704,31378.75,Refrigerator(207),wopc,wpc,wpc,wpc,0.704,1737556590,S53
2025-01-22 14:36:43,SMP01,Laboratory 207,0.666,31378.762,Refrigerator(207),wopc,wpc,wpc,wpc,0.666,1737556603,S53
2025-01-22 14:36:55,SMP01,Laboratory 207,0.666,31378.762,Refrigerator(207),wopc,wpc,wpc,wpc,0.666,1737556615,S53
2025-01-22 14:37:07,SMP01,Laboratory 207,0.666,31378.762,Refrigerator(207),wopc,wpc,wpc,wpc,0.666,1737556627,S53
2025-01-22 14:37:19,SMP01,Laboratory 207,0.666,31378.762,Refrigerator(207),wopc,wpc,wpc,wpc,0.666,1737556639,S53
2025-01-22 14:37:31,SMP01,Laboratory 207,0.666,31378.762,Refrigerator(207),wopc,wpc,wpc,wpc,0.666,1737556651,S53
2025-01-22 14:37:43,SMP01,Laboratory 207,0.653,31378.773,Refrigerator(207),wopc,wpc,wpc,wpc,0.653,1737556663,S53
2025-01-22 14:37:56,SMP01,Laboratory 207,0.653,31378.773,Refrigerator(207),wopc,wpc,wpc,wpc,0.653,1737556676,S53
2025-01-22 14:38:08,SMP01,Laboratory 207,0.653,31378.773,Refrigerator(207),wopc,wpc,wpc,wpc,0.653,1737556688,S53
2025-01-22 14:38:20,SMP01,Laboratory 207,0.653,31378.773,Refrigerator(207),wopc,wpc,wpc,wpc,0.653,1737556700,S53
2025-01-22 14:38:32,SMP01,Laboratory 207,0.653,31378.773,Refrigerator(207),wopc,wpc,wpc,wpc,0.653,1737556712,S53
2025-01-22 14:38:44,SMP01,Laboratory 207,0.703,31378.784,Refrigerator(207),wopc,wpc,wpc,wpc,0.703,1737556724,S53
2025-01-22 14:38:56,SMP01,Laboratory 207,0.703,31378.784,Refrigerator(207),wopc,wpc,wpc,wpc,0.703,1737556736,S53
2025-01-22 14:39:08,SMP01,Laboratory 207,0.703,31378.784,Refrigerator(207),wopc,wpc,wpc,wopc,0.703,1737556748,S52
2025-01-22 14:39:21,SMP01,Laboratory 207,0.703,31378.784,Refrigerator(207),wopc,wpc,wpc,wopc,0.703,1737556761,S52
2025-01-22 14:39:33,SMP01,Laboratory 207,0.703,31378.784,Refrigerator(207),wopc,wpc,wpc,wopc,0.703,1737556773,S52
2025-01-22 14:39:45,SMP01,Laboratory 207,0.71,31378.795,Refrigerator(207),wopc,wpc,wpc,wopc,0.71,1737556785,S52
